Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
3159 Dauphine St,3159 Dauphine St,Short Term Rental Commercial Owner,3,6,09/08/2025 11:59:00 PM,"(29.9641959003444, -90.0436262817644)",3689204.68,534770.01
1910 Josephine St,1910 Josephine St,Short Term Rental Commercial Owner,2,4,09/08/2025 11:59:00 PM,"(29.9377997853962, -90.0824078924337)",3677030.2,525035.27
2222 St Louis St,2222 St Louis St,Short Term Rental Commercial Owner,5,10,03/29/2025 11:59:00 PM,"(29.9656134636366, -90.0800920200094)",3677653.04,535157.37
1436 Amelia St,1436 Amelia St,Short Term Rental Commercial Owner,2,4,04/02/2025 11:59:00 PM,"(29.925310221243, -90.0944737449909)",3673257.92,520452.09
3521 Iberville St,3521 Iberville St,Short Term Rental Commercial Owner,3,6,04/02/2025 11:59:00 PM,"(29.9721561056202, -90.0947098843139)",3672998.98,537486.2
2000 Oretha Castle Haley Blvd,2000 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,06/24/2025 11:59:00 PM,"(29.937946757322, -90.0814117334453)",3677345.11,525092.16
SCHIRO'S GUEST HOUSE,P.O. BOX 24127 ST,4703 - BED & BREAKFAST INNS,,,,,,
1627 Saint Charles Ave,1627 Saint Charles Ave,Short Term Rental Commercial Owner,2,4,06/24/2025 11:59:00 PM,"(29.9379836311727, -90.0766635482421)",3678848.76,525122.03
1627 Baronne St,1627 Baronne St,Short Term Rental Commercial Owner,5,10,02/15/2025 11:59:00 PM,"(29.9392615996165, -90.0789965137582)",3678104.8,525578.65
4017 Iberville St,4017 Iberville St,Short Term Rental Commercial Owner,3,6,06/23/2025 11:59:00 PM,"(29.9750403049363, -90.0989765423359)",3671636.85,538520.43
3420 Magazine St,3420 Magazine St,Short Term Rental Commercial Owner,2,4,06/23/2025 11:59:00 PM,"(29.922508102827, -90.0893621866867)",3674888.07,519450.68
501 N Salcedo St,501 N Salcedo St,Short Term Rental Commercial Owner,3,6,06/27/2025 11:59:00 PM,"(29.9717143374146, -90.0884046281747)",3674996.98,537347.19
618 S Lopez St,618 S Lopez St,Short Term Rental Commercial Owner,1,2,04/04/2025 11:59:00 PM,"(29.9637660194555, -90.0962336894666)",3672549.48,534430.03
504 David St,504 David St,Short Term Rental Commercial Owner,5,10,06/23/2025 11:59:00 PM,"(29.9782538601549, -90.0981101065092)",3671898.56,539691.96
HILTON NEW ORLEANS/ ST CHARLES AVENUE,15 ENTERPRISE AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
1631 Baronne St,1631 Baronne St,Short Term Rental Commercial Owner,5,10,02/15/2025 11:59:00 PM,"(29.9392032135945, -90.0790451785213)",3678089.62,525557.25
516 S D'orgenois St,516 S D'orgenois St,Short Term Rental Commercial Owner,2,4,06/23/2025 11:59:00 PM,"(29.9606084621893, -90.0892712876485)",3674766.44,533305.69
538 Jackson Ave,538 Jackson Ave,Short Term Rental Commercial Owner,3,6,09/12/2025 11:59:00 PM,"(29.9253066155599, -90.0732571912581)",3679978.28,520524.06
1629 Saint Charles Ave,1629 Saint Charles Ave,Short Term Rental Commercial Owner,2,4,06/24/2025 11:59:00 PM,"(29.93796557256, -90.0766759950315)",3678844.89,525115.42
ESPLANADE GUEST HOUSE,P.O. BOX 24127,4703 - BED & BREAKFAST INNS,,,,,,
4019 Iberville St,4019 Iberville St,Short Term Rental Commercial Owner,3,6,06/23/2025 11:59:00 PM,"(29.9750553723491, -90.0990026673118)",3671628.52,538525.82
518 S D'orgenois St,518 S D'orgenois St,Short Term Rental Commercial Owner,2,4,06/23/2025 11:59:00 PM,"(29.9605870293398, -90.0892818189662)",3674763.19,533297.86
1627 Saint Charles Ave,1627 Saint Charles Ave,Short Term Rental Commercial Owner,2,4,06/24/2025 11:59:00 PM,"(29.9379836311727, -90.0766635482421)",3678848.76,525122.03
4824 Prytania St,4824 Prytania St,Short Term Rental Commercial Owner,3,6,06/24/2025 11:59:00 PM,"(29.924388016462, -90.1072865953566)",3669203.03,520073.09
2117 N Claiborne Ave,2117 N Claiborne Ave,Short Term Rental Commercial Owner,3,6,04/07/2025 11:59:00 PM,"(29.9736736311273, -90.0580782764816)",3684590.45,538165.25
3015 Chartres St,3015 Chartres St,Short Term Rental Commercial Owner,5,10,04/08/2025 11:59:00 PM,"(29.9628983006115, -90.0470640868498)",3688121.48,534285.92
1215 Saint Anthony St,1215 Saint Anthony St,Short Term Rental Commercial Owner,4,8,11/25/2025 11:59:00 PM,"(29.9686266492305, -90.0614140813308)",3683554.72,536318.24
2110 Burgundy St Apt 3,2110 Burgundy St Apt 3,Short Term Rental Commercial Owner,2,4,11/24/2025 11:59:00 PM,"(29.9662941312858, -90.0575786082667)",3684778.52,535483.55
2021 Oretha Castle Haley Blvd,2021 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,11/24/2025 11:59:00 PM,"(29.938046693387, -90.0817268894979)",3677244.9,525127.41
2110 Burgundy St Apt 1,2110 Burgundy St Apt 1,Short Term Rental Commercial Owner,3,6,11/24/2025 11:59:00 PM,"(29.9663450257121, -90.0575862955659)",3684775.88,535502.03
121 Elmira Ave,121 Elmira Ave,Short Term Rental Commercial Owner,5,10,06/04/2025 11:59:00 PM,"(29.9544717650991, -90.0468407133195)",3688226.61,531222.52
